PRODCODE,PRODDATE,CONTRACTNO,WONO,ITEMNO,CATCOD,ITEMSIZE,CUTSIZE,CUTSHT,CUTTIMES,REALSHT,CUTWEIGHT,CTRTYPE,DONO
1,44839,0012J22,0016J22,220904112,076,02.00-1219.0-COIL.,02.00-0058.0-COIL.,17,1,17,2426.58,2,0038J22
1,44839,0012J22,0016J22,220904112,076,02.00-1219.0-COIL.,02.00-0225.0-COIL.,1,1,1,553.73,2,0038J22
2,44831,,0364I22,220904333,077,05.90-1228.0-COIL.,05.90-1228.0-1800.0,102,1,102,10740,2,
3,44838,0237I22,0364I22,220904333,077,05.90-1228.0-1800.0,05.90-0307.0-1800.0,408,1,408,10740,2,0074J22
1,44839,0018J22,0022J22,211104269#,001,00.40-1219.0-COIL.,00.40-0453.0-COIL.,2,1,2,5213.78,1,0040J22
1,44839,STOCK,0022J22,211104269#,001,00.40-1219.0-COIL.,00.40-0310.0-COIL.,1,1,1,1783.96,1,
2,44839,,0036J22,220602710,007,00.40-1240.0-COIL.,00.40-1240.0-0002.5,380000,1,380000,3800,2,
2,44839,,0036J22,220602710,007,00.40-1240.0-COIL.,00.40-1240.0-COIL.,1,1,1,3165,2,
2,44839,0028J22,0036J22,220602710,007,00.40-1240.0-0002.5,00.40-1240.0-COIL.,1,1,1,3800,2,0041J22
1,44839,0028J22,0036J22,220602710,007,00.40-1240.0-COIL.,00.40-0062.0-COIL.,10,1,10,1582.5,2,0041J22
1,44839,0028J22,0036J22,220602710,007,00.40-1240.0-COIL.,00.40-0024.0-COIL.,2,1,2,122.52,2,0041J22
1,44839,,0036J22,220602710,007,00.40-1240.0-COIL.,00.40-0566.0-COIL.,1,1,1,1444.67,2,
1,44839,0028J22,0036J22,220602710,007,00.40-0566.0-COIL.,00.40-0062.0-COIL.,9,1,9,1424.25,2,0041J22
1,44838,0016J22,0018J22,210802832#,001,00.50-0894.0-COIL.,00.50-0381.6-COIL.,2,2,4,6799.66,1,0025J22
1,44838,,0018J22,210802832#,001,00.50-0894.0-COIL.,00.50-0131.0-COIL.,1,2,2,1167.13,1,
1,44839,STOCK,0018J22,210802832#,001,00.50-0131.0-COIL.,00.50-0009.7-COIL.,26,1,26,1123.46,1,
1,44837,0016J22,0019J22,210802833#,001,00.50-0894.0-COIL.,00.50-0381.6-COIL.,2,2,4,6825.26,1,0025J22
1,44838,,0019J22,210802833#,001,00.50-0894.0-COIL.,00.50-0131.0-COIL.,1,2,2,1171.53,1,
1,44839,STOCK,0019J22,210802833#,001,00.50-0131.0-COIL.,00.50-0009.7-COIL.,26,1,26,1127.62,1,
2,44840,,0034J22,220904474#,004,00.40-1240.0-COIL.,00.40-1240.0-0002.5,416500,1,416500,4165,1,
2,44840,,0034J22,220904474#,004,00.40-1240.0-COIL.,00.40-1240.0-COIL.,1,1,1,3000,1,
2,44840,STOCK,0034J22,220904474#,004,00.40-1240.0-0002.5,00.40-1240.0-COIL.,1,1,1,4165,1,
1,44840,0022J22,0034J22,220904474#,004,00.40-1240.0-COIL.,00.40-1240.0-COIL.,1,2,2,3000,1,0042J22
2,44735,0217I22,0390F22,220401605#,001,00.70-1219.0-COIL.,00.70-1219.0-3050.0,200,1,200,4017.66,1,0213I22
2,44735,STOCK,0390F22,220401605#,001,00.70-1219.0-COIL.,00.70-1219.0-2438.0,33,1,33,529.9,1,
2,44735,0242I22,0390F22,220401605#,001,00.70-1219.0-COIL.,00.70-1219.0-3050.0,100,1,100,2008.83,1,0251I22
2,44735,0044J22,0390F22,220401605#,001,00.70-1219.0-COIL.,00.70-1219.0-3050.0,41,1,41,823.62,1,0044J22
2,44735,0044J22,0389F22,220401607#,001,00.70-1219.0-COIL.,00.70-1219.0-3050.0,159,1,159,3218.03,1,0044J22
2,44735,STOCK,0389F22,220401607#,001,00.70-1219.0-COIL.,00.70-1219.0-2438.0,12,1,12,194.14,1,
2,44735,0003G22,0389F22,220401607#,001,00.70-1219.0-COIL.,00.70-1219.0-3050.0,200,1,200,4047.83,1,0003G22
2,44709,0161E22,0271E22,211204398#,001,01.20-1219.0-COIL.,01.20-1219.0-3050.0,100,1,100,3479.05,1,0182E22
2,44709,0043J22,0271E22,211204398#,001,01.20-1219.0-COIL.,01.20-1219.0-3050.0,180,1,180,6262.28,1,0043J22
2,44709,0171H22,0271E22,211204398#,001,01.20-1219.0-COIL.,01.20-1219.0-2438.0,26,1,26,723.05,1,0153H22
2,44709,STOCK,0271E22,211204398#,001,01.20-1219.0-COIL.,01.20-1219.0-2438.0,2,1,2,55.62,1,
2,44837,0026J22,0420I22,220603057#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,175,1,175,3901.67,1,0028J22
2,44837,STOCK,0420I22,220603057#,001,01.00-1219.0-COIL.,01.00-1219.0-2438.0,14,1,14,311.88,1,
2,44837,0046J22,0420I22,220603057#,001,01.00-1219.0-COIL.,01.00-1219.0-2440.0,286,1,286,6376.45,1,0045J22
1,44840,0038J22,0051J22,220502173#,001,01.20-1219.0-COIL.,01.20-0078.0-COIL.,13,1,13,8742.5,1,0050J22
1,44840,0038J22,0051J22,220502173#,001,01.20-1219.0-COIL.,01.20-0194.0-COIL.,1,1,1,1672.63,1,0050J22
1,44840,0037J22,0050J22,220401583,015,01.50-1199.0-COIL.,01.50-0162.0-COIL.,6,1,6,10911.72,2,0049J22
1,44840,0037J22,0050J22,220401583,015,01.50-1199.0-COIL.,01.50-0222.0-COIL.,1,1,1,2492.18,2,0049J22
1,44840,0029J22,0040J22,220904392,001,01.40-0230.0-COIL.,01.40-0097.0-COIL.,2,1,2,337.4,2,0048J22
1,44840,0029J22,0040J22,220904392,001,01.40-0230.0-COIL.,01.40-0021.9-COIL.,1,1,1,38.09,2,0048J22
1,44840,0029J22,0038J22,220904391,001,01.40-0110.0-COIL.,01.40-0097.0-COIL.,1,2,2,509.69,2,0048J22
1,44840,0029J22,0039J22,220904390,001,01.40-0110.0-COIL.,01.40-0097.0-COIL.,1,2,2,522.04,2,0048J22
1,44840,0029J22,0037J22,220904376,047,01.40-0101.3-COIL.,01.40-0097.0-COIL.,1,1,1,342.8,2,0048J22
2,44840,STOCK,0146I22,220602911#,001,01.50-1219.0-COIL.,01.50-1219.0-2438.0,5,1,5,174.95,1,
2,44840,STOCK,0146I22,220602911#,001,01.50-1219.0-COIL.,01.50-1219.0-COIL.,1,1,1,6945.05,1,
2,44840,0048J22,0070J22,220703566,235,00.80-1219.0-COIL.,00.80-1219.0-2400.0,161,1,161,2950,2,0061J22
2,44832,,0365I22,220904450,077,05.90-1228.0-COIL.,05.90-1228.0-1800.0,92,1,92,9574.57,2,
2,44832,,0365I22,220904450,077,05.90-1228.0-COIL.,05.90-1228.0-1415.0,3,1,3,245.43,2,
3,44839,0237I22,0365I22,220904450,077,05.90-1228.0-1800.0,05.90-0307.0-1800.0,368,1,368,9574.57,2,0074J22
3,44839,,0365I22,220904450,077,05.90-1228.0-1415.0,05.90-1228.0-0350.0,13,1,13,263.06,2,
3,44840,0237I22,0365I22,220904450,077,05.90-1228.0-0350.0,05.90-0307.0-0350.0,54,1,54,273.18,2,0074J22
2,44826,0015J22,0307I22,220602938#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,75,1,75,1324.81,1,0013J22
2,44826,0047J22,0307I22,220602938#,001,00.80-1219.0-COIL.,00.80-1219.0-2440.0,101,1,101,1784.07,1,0046J22
